NGVS+4-3.l.i,72,129,2251.7,1.04E-01
NGVS+4-3.l.r,52,95,3054.5,5.73E-02
NGVS+4-3.l.u,104,63,266.1,1.44E-01
NGVS+4-3.l.z,55,190,3471.2,1.88E-01
NGVS+4-3.s.g,3.56,16,37.7,2.11E+00
NGVS+4-3.s.z,0.93,27,98.8,8.04E+00
NGVS+5+0.l.g,177,96,1238.6,4.22E-02
NGVS+5+0.l.i,72,129,2225.4,1.04E-01
NGVS+5+0.l.u,94,58,256.7,1.43E-01
NGVS+5+0.l.z,55,185,3284.3,1.88E-01
NGVS+5+0.s.g,3.55,17,40.9,2.11E+00
NGVS+5+0.s.i,1.37,16,35.2,5.49E+00
NGVS+5+0.s.z,0.93,28,110.1,8.07E+00
NGVS+5+1.l.g,179,93,1165.5,4.18E-02
NGVS+5+1.l.i,72,129,2223.7,1.03E-01
NGVS+5+1.l.u,94,58,256.4,1.42E-01
NGVS+5+1.l.z,56,186,3299.9,1.86E-01
NGVS+5+1.s.g,3.61,16,38.1,2.08E+00
NGVS+5+1.s.z,0.94,28,108.4,8.02E+00
NGVS+5+2.l.g,179,93,1163.9,4.18E-02
NGVS+5+2.l.i,72,126,2144.8,1.03E-01
NGVS+5+2.l.u,95,57,241.5,1.42E-01
NGVS+5+2.l.z,55,185,3271.7,1.88E-01
NGVS+5+2.s.g,3.56,16,35.3,2.11E+00
NGVS+5+2.s.z,0.92,29,116.1,8.18E+00
NGVS+5-1.l.g,151,85,1163.2,4.15E-02
NGVS+5-1.l.i,72,125,2084,1.03E-01
NGVS+5-1.l.u,94,58,253.4,1.43E-01
NGVS+5-1.l.z,56,192,3540.6,1.88E-01
NGVS+5-1.s.g,3.55,16,37,2.12E+00
NGVS+5-1.s.i,1.35,19,50.7,5.54E+00
NGVS+5-1.s.z,0.93,28,106,8.05E+00
NGVS-1+0.l.g,195,94,1182.4,3.84E-02
NGVS-1+0.l.i,72,110,1625.8,1.04E-01
NGVS-1+0.l.r,184,134,1735.3,5.69E-02
NGVS-1+0.l.u,113,61,256.4,1.30E-01
NGVS-1+0.l.z,60,222,4197.8,1.98E-01
NGVS-1+0.s.g,3.68,12,22.5,2.04E+00
NGVS-1+0.s.i,1.42,15,34,5.28E+00
NGVS-1+0.s.r,1.74,13,23.2,4.31E+00
NGVS-1+0.s.u,5.19,13,26.1,1.45E+00
NGVS-1+0.s.z,0.89,31,132.6,8.45E+00
NGVS-1+1.l.g,196,93,1154.7,3.81E-02
NGVS-1+1.l.i,73,115,1781.8,1.03E-01
NGVS-1+1.l.r,186,131,1645.9,5.62E-02
NGVS-1+1.l.u,114,57,221.6,1.32E-01
NGVS-1+1.l.z,62,176,2599.6,1.94E-01
NGVS-1+1.s.g,3.75,12,21.4,2.00E+00
NGVS-1+1.s.i,1.47,17,40.8,5.12E+00
NGVS-1+1.s.r,1.74,12,21.5,4.32E+00
NGVS-1+1.s.u,5.42,12,18.2,1.57E+00
NGVS-1+1.s.z,0.93,17,42.8,8.02E+00
NGVS-1+2.l.g,192,96,1231.9,3.90E-02
NGVS-1+2.l.i,69,130,2275.4,1.08E-01
NGVS-1+2.l.r,163,143,1956,6.44E-02
NGVS-1+2.l.u,125,54,181.9,1.32E-01
NGVS-1+2.l.z,57,152,2041.4,1.97E-01
